"sitenum","latitude","longitude","year","chla_mean","sst_mean","upwelling_mean"
48,32.7116661071777,-117.25,2000,1.1563000023365,16.9539737277561,85.1771087646484
48,32.7116661071777,-117.25,2001,1.39215385455352,17.1233532106554,69.2296676635742
48,32.7116661071777,-117.25,2002,1.46554546193643,16.0318221692686,71.4000549316406
48,32.7116661071777,-117.25,2003,1.18525001903375,15.7135738715147,79.2738800048828
47,32.8199996948242,-117.276664733887,2000,0.942272730849006,17.1513870053175,85.1771087646484
47,32.8199996948242,-117.276664733887,2001,1.25684616428155,17.1512810202206,69.2296676635742
47,32.8199996948242,-117.276664733887,2002,1.276818188754,16.0246115145476,71.4000549316406
47,32.8199996948242,-117.276664733887,2003,1.12100001921256,15.5009366628286,79.2738800048828
46,32.8400001525879,-117.279998779297,2000,0.883428577865873,17.2152516648576,85.1771087646484
46,32.8400001525879,-117.279998779297,2001,1.139250010252,17.1551421483358,69.2296676635742
46,32.8400001525879,-117.279998779297,2002,1.10600001471383,16.1350016820998,71.4000549316406
46,32.8400001525879,-117.279998779297,2003,0.800374999642372,15.4216915130615,79.2738800048828
45,33.439998626709,-118.476669311523,2000,0.607733335097631,16.5513930394099,70.7193202972412
45,33.439998626709,-118.476669311523,2001,0.466800002257029,17.3227996826172,57.3170413970947
45,33.439998626709,-118.476669311523,2002,0.661142860140119,16.4516268069927,57.1656532287598
45,33.439998626709,-118.476669311523,2003,0.591666660375065,16.4397968234438,65.4043922424316
44,33.4500007629395,-118.480003356934,2000,0.607733335097631,16.4886601139122,70.7193202972412
44,33.4500007629395,-118.480003356934,2001,0.466800002257029,17.2271355551642,57.3170413970947
44,33.4500007629395,-118.480003356934,2002,0.661142860140119,16.3877765315853,57.1656532287598
44,33.4500007629395,-118.480003356934,2003,0.591666660375065,16.4515567470241,65.4043922424316
43,33.4599990844727,-118.519996643066,2000,0.558000002916043,16.5149812092857,56.261531829834
43,33.4599990844727,-118.519996643066,2001,0.447384616503349,17.2284172445104,45.4044151306152
43,33.4599990844727,-118.519996643066,2002,0.619066667556763,16.3438144977276,42.9312515258789
43,33.4599990844727,-118.519996643066,2003,0.566611107852724,16.4734869564281,51.5349044799805
42,33.7000007629395,-118.286666870117,2000,1.40357143538339,16.2309802488847,56.261531829834
42,33.7000007629395,-118.286666870117,2001,1.17292306973384,17.0846311024257,45.4044151306152
42,33.7000007629395,-118.286666870117,2002,1.38599999134357,16.2354458545117,42.9312515258789
42,33.7000007629395,-118.286666870117,2003,1.47592305678588,16.2720063462549,51.5349044799805
41,33.7099990844727,-118.309997558594,2000,1.40357143538339,16.0993441009521,56.261531829834
41,33.7099990844727,-118.309997558594,2001,1.17292306973384,16.9912916300248,45.4044151306152
41,33.7099990844727,-118.309997558594,2002,1.38599999134357,16.1831500588394,42.9312515258789
41,33.7099990844727,-118.309997558594,2003,1.47592305678588,16.1141546939282,51.5349044799805
40,33.7599983215332,-118.419998168945,2000,1.39450001219908,16.0508834948907,56.261531829834
